,ALG,DATASET,method,vMAE,vSTD,eMAE,vs
185,SVR,FPT+clinical+PT,SL,1.099911490875085,0.13240296111233368,0.747997398142864,[-1.20170724 -1.02393013 -0.91523451 -1.2906822  -1.06800337]
186,DecisionTreeRegressor,FPT+clinical+PT,SL,1.5633128621311538,0.21683716688344154,1.01648369210698,[-1.54272974 -1.86773973 -1.30314212 -1.74386059 -1.35909213]
187,RandomForestRegressor,FPT+clinical+PT,SL,1.1835289012196357,0.1338620082388572,1.0746388405634262,[-1.29225087 -1.35653623 -1.07075937 -1.20115806 -0.99693997]
188,MLPRegressor,FPT+clinical+PT,SL,1.6663138132864481,0.1931443504621118,1.4970798981430435,[-1.518653   -1.84718813 -1.3674132  -1.85985363 -1.73846111]
189,Lasso,FPT+clinical+PT,SL,1.1407213806132765,0.12604825878115153,0.8886414336538568,[-1.23105471 -0.98596258 -1.14221493 -1.32276618 -1.0216085 ]
190,GradientBoostingRegressor,SCT+clinical+CT,SL,1.10924914686213,0.15164689921392938,0.7955348835890226,[-1.26169327 -0.99040303 -0.91042724 -1.30240674 -1.08131545]
191,BaggingRegressor,SCT+clinical+CT,SL,1.2196970319634706,0.08189919937738088,0.8124657534246577,[-1.25832192 -1.13440068 -1.14212329 -1.35609589 -1.20754338]
192,KNeighborsRegressor,SCT+clinical+CT,SL,1.1689672754946727,0.13614893849848755,0.7795890410958903,[-1.15277778 -1.01398402 -1.14878234 -1.42226027 -1.10703196]
193,AdaBoostRegressor,SCT+clinical+CT,SL,1.1810794417007264,0.10206705270620157,0.7348430033877918,[-1.27149608 -1.05288046 -1.1225413  -1.32776059 -1.13071878]
194,LinearRegression,SCT+clinical+CT,SL,1.1133763667791279,0.1488259528451796,0.8302822170231817,[-1.25570841 -1.03130512 -0.90700325 -1.30989801 -1.06296704]
195,SVR,SCT+clinical+CT,SL,1.0989741845403695,0.1334470904430853,0.7503554211633929,[-1.20346312 -1.02161389 -0.9145218  -1.29108211 -1.06419001]
196,DecisionTreeRegressor,SCT+clinical+CT,SL,1.3816955723940403,0.1160164022238135,0.9950072131065282,[-1.51635654 -1.29570491 -1.32125    -1.52551083 -1.24965558]
197,RandomForestRegressor,SCT+clinical+CT,SL,1.2029463556968258,0.09987721445611077,0.7979779522496688,[-1.2104477  -1.04166629 -1.22615979 -1.35409881 -1.1823592 ]
198,MLPRegressor,SCT+clinical+CT,SL,1.3276782260581672,0.15947867429760398,1.0218905955289377,[-1.31141459 -1.44804127 -1.04462462 -1.50738787 -1.32692278]
199,Lasso,SCT+clinical+CT,SL,1.1131435688884905,0.14891459446917746,0.8304013974531743,[-1.25511635 -1.03082872 -0.90642149 -1.30995952 -1.06339175]
200,GradientBoostingRegressor,SPT+clinical+PT,SL,1.1204494118142054,0.13777166920056982,0.8090400306706096,[-1.25150007 -1.04906012 -0.9020719  -1.27838965 -1.12122531]
201,BaggingRegressor,SPT+clinical+PT,SL,1.315075799086758,0.018739986026416907,0.9455890410958906,[-1.32214041 -1.30416096 -1.28578767 -1.32215753 -1.34113242]
202,KNeighborsRegressor,SPT+clinical+PT,SL,1.1858579471326458,0.1643323098662947,0.8786138867915175,[-1.34177423 -1.12654688 -0.94121089 -1.39476303 -1.12499471]
203,AdaBoostRegressor,SPT+clinical+PT,SL,1.2295737149140826,0.10635846862495059,0.7098433797514007,[-1.19396295 -1.16990179 -1.14902231 -1.43952439 -1.19545713]
204,LinearRegression,SPT+clinical+PT,SL,1.1271586008927756,0.1036796197846329,0.7738426908683939,[-1.24280838 -1.07896164 -1.02273103 -1.26066949 -1.03062247]
205,SVR,SPT+clinical+PT,SL,1.0988001271026833,0.1341843575438345,0.7492021349122756,[-1.20178988 -1.02455688 -0.91174101 -1.29281658 -1.0630963 ]
206,DecisionTreeRegressor,SPT+clinical+PT,SL,1.5123682454229896,0.24209303392240702,0.9170115567874652,[-1.45305505 -1.9720624  -1.3508105  -1.2843536  -1.50155967]
207,RandomForestRegressor,SPT+clinical+PT,SL,1.2743901143169065,0.12546414924372043,0.7659008667409613,[-1.50558866 -1.24097423 -1.12774979 -1.274565   -1.22307288]
208,MLPRegressor,SPT+clinical+PT,SL,1.4366519552064514,0.25929102559830797,1.0727265504869206,[-1.54324892 -1.2001981  -1.44760921 -1.8578318  -1.13437175]
209,Lasso,SPT+clinical+PT,SL,1.119638970428354,0.14662518665847854,0.8141199930639846,[-1.26181235 -1.01849315 -0.91594368 -1.30663459 -1.09531107]
210,GradientBoostingRegressor,CPT+clinical+PT,SL,1.1308807277938047,0.13170408374812212,0.8087872361206024,[-1.25075651 -1.06022464 -0.93455024 -1.2993068  -1.10956545]
211,BaggingRegressor,CPT+clinical+PT,SL,1.2152849315068495,0.07414660051790499,0.8834931506849317,[-1.2425     -1.13155822 -1.15398973 -1.20695205 -1.34142466]
